index,id,filename,width,height,file_size_mb,mode,has_alpha,status,candidate_screens,notes
26,idx26,hf_20260702_225700_fa4dc87c-2d65-4a9b-a3e6-7766623bed5c.png,1856,2304,5.51,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
27,idx27,hf_20260702_225703_6c6c701f-8637-46d9-930e-59b6ab6d1caa.png,1856,2304,4.7,RGB,False,selected_candidate,onboarding/02-benefits-guia; onboarding/03-identify-backgrounds,Candidato inicial mapeado a pantalla/uso.
28,idx28,hf_20260702_225704_48583c80-028e-4d05-a4f4-98b5cfa5a397.png,1856,2304,5.24,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
29,idx29,hf_20260702_225718_64709862-4e59-46ae-980e-3095bb483816.png,1856,2304,7.23,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
30,idx30,hf_20260702_225740_5679f405-d9dc-411c-ac79-d29201a3b6a1.png,1856,2304,7.97,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
31,idx31,hf_20260702_225751_3b4cd616-256e-43b4-a650-ceacbaac0096.png,1856,2304,5.44,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
32,idx32,hf_20260702_225759_08e9d03c-38fb-42d3-91b3-21824aa86425.png,1856,2304,4.7,RGB,False,rejected_checkerboard_from_shortlist,onboarding/05-10-datos-natales--rejected-checkerboard,"Estaba en shortlist, pero se rechaza como final por checkerboard horneado y alpha real ausente."
33,idx33,hf_20260702_225800_a4a1ebff-8a32-4261-9ee2-ba835092274b.png,1856,2304,5.63,RGB,False,rejected_checkerboard_from_shortlist,onboarding/05-10-datos-natales--rejected-checkerboard,"Estaba en shortlist, pero se rechaza como final por checkerboard horneado y alpha real ausente."
34,idx34,hf_20260702_225939_25b488ff-f700-4b33-9be2-5d7b9eaa962b.png,1856,2304,5.62,RGB,False,selected_candidate,onboarding/05-10-datos-natales,Candidato inicial mapeado a pantalla/uso.
35,idx35,hf_20260702_225941_85c1a875-ddd6-414a-8923-5d64770937b7.png,1856,2304,5.77,RGB,False,selected_candidate,onboarding/05-10-datos-natales,Candidato inicial mapeado a pantalla/uso.
36,idx36,hf_20260702_225943_5bef7c94-2b8f-4f1e-a115-f8fc34bdf6a8.png,1856,2304,4.52,RGB,False,selected_candidate,onboarding/05-10-datos-natales,Candidato inicial mapeado a pantalla/uso.
37,idx37,hf_20260702_225945_0afbbd85-7d06-479c-804e-6a525e501ebd.png,1856,2304,6.54,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
38,idx38,hf_20260702_230126_3c0109f7-3d2b-4fa6-ae8e-d70c048c592a.png,1856,2304,4.76,RGB,False,selected_candidate,onboarding/02-benefits-practica; onboarding/05-10-datos-natales,Candidato inicial mapeado a pantalla/uso.
39,idx39,hf_20260702_230127_41534983-a961-4cae-bcbc-5b111a177b57.png,1856,2304,4.77,RGB,False,selected_candidate,onboarding/02-benefits-practica; onboarding/05-10-datos-natales,Candidato inicial mapeado a pantalla/uso.
40,idx40,hf_20260702_230135_87f2170d-2627-4fe8-9ccd-dafff66d35a8.png,1856,2304,8.44,RGB,False,selected_candidate,onboarding/05-10-datos-natales,Candidato inicial mapeado a pantalla/uso.
41,idx41,hf_20260702_230136_914fcf81-ea22-4d55-86d2-92349fc5f577.png,1856,2304,6.16,RGB,False,selected_candidate,onboarding/02-benefits-guia; onboarding/05-10-datos-natales,Candidato inicial mapeado a pantalla/uso.
42,idx42,hf_20260702_230217_a3474d73-0e09-4e21-9e1a-578a28dd2cd0.png,1856,2304,6.56,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
43,idx43,hf_20260702_230218_4377a21b-b8ff-4d27-acdf-2ba615b374d2.png,1856,2304,5.79,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
44,idx44,hf_20260702_230223_dfcf103e-fc29-425c-8d14-79bfa6d9e8f3.png,1856,2304,6.02,RGB,False,selected_candidate,onboarding/11-base-chart,Candidato inicial mapeado a pantalla/uso.
45,idx45,hf_20260702_230251_ca3c6d56-549c-4a99-bc99-3c1de2e22623.png,1856,2304,5.1,RGB,False,selected_candidate,onboarding/11-base-chart,Candidato inicial mapeado a pantalla/uso.
46,idx46,hf_20260702_230259_97b381df-0abb-4b86-a0ce-e9d94c083f5e.png,1856,2304,5.67,RGB,False,selected_candidate,onboarding/11-base-chart,Candidato inicial mapeado a pantalla/uso.
47,idx47,hf_20260702_230301_d7894a60-e3d7-4107-a4b8-8bd058f414a7.png,1856,2304,6.92,RGB,False,selected_candidate,onboarding/11-base-chart,Candidato inicial mapeado a pantalla/uso.
48,idx48,hf_20260702_230312_d7b7bfe5-29dc-43ae-a331-60b436265955.png,1856,2304,4.54,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
49,idx49,hf_20260702_230339_0eeba439-11f5-4d44-a356-552ea9e6fe18.png,1856,2304,5.12,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
50,idx50,hf_20260702_230340_8856968b-849a-43dc-98d5-af8e9387cbb6.png,1856,2304,8.43,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
51,idx51,hf_20260702_230356_e3c7b09d-4890-4038-9700-fbf157106297.png,1856,2304,5.76,RGB,False,selected_candidate,onboarding/12-personalizing,Candidato inicial mapeado a pantalla/uso.
52,idx52,hf_20260702_230358_99b18668-cf12-4382-aebe-20d97628e5ac.png,1856,2304,6.07,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
53,idx53,hf_20260702_230421_2a16c0db-f3c2-453e-b3f5-ea07317ed327.png,1856,2304,8.18,RGB,False,selected_candidate,onboarding/13-before-after,Candidato inicial mapeado a pantalla/uso.
54,idx54,hf_20260702_230439_e590ab9f-034e-416e-b85f-4463ddab83d4.png,1856,2304,6.01,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
55,idx55,hf_20260702_230443_7766bfe4-3d35-4c17-9f45-480b82f33979.png,1856,2304,6.45,RGB,False,selected_candidate,onboarding/12-personalizing,Candidato inicial mapeado a pantalla/uso.
56,idx56,hf_20260702_230509_c4aec6ab-5fe7-4583-843a-f254b87dcef3.png,1856,2304,5.8,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
57,idx57,hf_20260702_230512_95485a0a-4585-41ae-a8aa-955a330e8c82.png,1856,2304,6.17,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
58,idx58,hf_20260702_230524_8642f4b2-ee5b-48df-9bce-63463deae9f2.png,1856,2304,6.18,RGB,False,selected_candidate,onboarding/14-account,Candidato inicial mapeado a pantalla/uso.
59,idx59,hf_20260702_230530_60bdeae9-0771-45db-baeb-aa76da2860a6.png,1856,2304,6.56,RGB,False,selected_candidate,onboarding/14-account,Candidato inicial mapeado a pantalla/uso.
60,idx60,hf_20260702_230557_a40d96e6-2175-4bab-8f30-72decfad9a7a.png,1856,2304,5.13,RGB,False,shortlisted_review_later,,Shortlist fuerte sin pantalla cerrada todavia.
61,idx61,hf_20260702_230603_f2bf1113-1803-4a9d-97ca-1ce55797cebc.png,1856,2304,5.02,RGB,False,selected_candidate,onboarding/04-daily-guidance-backplates; onboarding/15-payment; home/end,Candidato inicial mapeado a pantalla/uso.
62,idx62,hf_20260702_230605_4349256f-bc12-482c-b48e-863d13ca7b0f.png,1856,2304,5.53,RGB,False,selected_candidate,onboarding/04-daily-guidance-backplates; onboarding/15-payment; home/top,Candidato inicial mapeado a pantalla/uso.
63,idx63,hf_20260702_230618_276f561a-9edd-43ff-a13c-394321bf91c7.png,1856,2304,5.7,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
64,idx64,hf_20260702_230643_d36a6aca-f326-4ed9-8e79-02943c11ce52.png,1856,2304,5.57,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
65,idx65,hf_20260702_230648_d1cfc679-53d3-4486-836e-b10fef818d79.png,1856,2304,6.35,RGB,False,selected_candidate,onboarding/02-benefits-decisiones; onboarding/04-daily-guidance-backplates; home/daily,Candidato inicial mapeado a pantalla/uso.
66,idx66,hf_20260702_230651_78bd4533-f37b-444b-85c1-ec79aae4180a.png,1856,2304,3.95,RGB,False,selected_candidate,onboarding/04-daily-guidance-backplates; onboarding/15-payment; home/top,Candidato inicial mapeado a pantalla/uso.
67,idx67,hf_20260702_230703_2847f2d4-f4e1-4e40-a0fe-9ab8b4f46e4f.png,1856,2304,6.18,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
68,idx68,hf_20260702_230733_4597921b-64d5-46d6-b1bc-d7beb3902c59.png,1856,2304,4.37,RGB,False,selected_candidate,onboarding/02-benefits-lunar; home/top,Candidato inicial mapeado a pantalla/uso.
69,idx69,hf_20260702_230736_a94be037-1dc9-45f7-bf1f-b0ef7a1cd418.png,1856,2304,4.49,RGB,False,selected_candidate,onboarding/15-payment; home/top,Candidato inicial mapeado a pantalla/uso.
70,idx70,hf_20260702_230748_334027c7-7398-4cd8-9cbf-735975269f69.png,1856,2304,5.09,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
71,idx71,hf_20260702_230750_65588261-c3a7-4d31-adc5-311f62b938fd.png,1856,2304,5.85,RGB,False,selected_candidate,onboarding/12-personalizing; home/daily,Candidato inicial mapeado a pantalla/uso.
72,idx72,hf_20260702_230829_c33f3126-d70c-470d-925d-02f272ba1572.png,1856,2304,5.36,RGB,False,selected_candidate,onboarding/12-personalizing; home/daily,Candidato inicial mapeado a pantalla/uso.
73,idx73,hf_20260702_230837_410b5b36-d440-4408-85ee-97a868b61a2c.png,1856,2304,5.94,RGB,False,selected_candidate,onboarding/12-personalizing; home/daily,Candidato inicial mapeado a pantalla/uso.
74,idx74,hf_20260702_230840_8b3cb922-d139-4b3d-8c36-a4c896208979.png,1856,2304,5.51,RGB,False,selected_candidate,onboarding/12-personalizing; home/daily,Candidato inicial mapeado a pantalla/uso.
75,idx75,hf_20260702_230844_9a02a4f2-0eb1-45f8-ab0d-cdd47475c472.png,1856,2304,6.0,RGB,False,reference_only_rejected_as_final,home/topics-reference-only,Sirve solo como referencia para regenerar topic symbols; no usar como asset final.
76,idx76,hf_20260702_230914_bbb3abe0-774a-4e2d-9a7f-e907268ef46c.png,1856,2304,6.29,RGB,False,reference_only_rejected_as_final,home/topics-reference-only,Sirve solo como referencia para regenerar topic symbols; no usar como asset final.
77,idx77,hf_20260702_230924_e65a00b2-4248-483b-a9d1-f1d2e7691c6a.png,1856,2304,6.2,RGB,False,selected_candidate,onboarding/05-10-datos-natales,Candidato inicial mapeado a pantalla/uso.
78,idx78,hf_20260702_230928_6fe79b7b-1498-45ff-b4f5-bab62ff3910a.png,1856,2304,4.57,RGB,False,reference_only_rejected_as_final,home/topics-reference-only,Sirve solo como referencia para regenerar topic symbols; no usar como asset final.
79,idx79,hf_20260702_230935_2bd07892-2e8c-4750-b328-3d7c36ff4183.png,1856,2304,5.21,RGB,False,selected_candidate,onboarding/15-payment; home/end,Candidato inicial mapeado a pantalla/uso.
80,idx80,hf_20260702_231005_e80bfecd-60c4-43d3-903f-b54c031183c8.png,1856,2304,4.27,RGB,False,selected_candidate,onboarding/15-payment; home/end,Candidato inicial mapeado a pantalla/uso.
81,idx81,hf_20260702_231014_3cf0aab5-0749-4be2-8ac3-b114028201b3.png,1856,2304,4.12,RGB,False,selected_candidate,onboarding/13-before-after,Candidato inicial mapeado a pantalla/uso.
82,idx82,hf_20260702_231017_f75c1aac-a2f8-49a4-bfe3-b728f0aadf4c.png,1856,2304,6.2,RGB,False,selected_candidate,onboarding/12-personalizing; home/daily,Candidato inicial mapeado a pantalla/uso.
83,idx83,hf_20260702_231032_0fcf8cb9-3709-4677-9821-7bc6d1b88ef5.png,1856,2304,5.3,RGB,False,selected_candidate,onboarding/05-10-datos-natales; onboarding/15-payment; home/top; home/end,Candidato inicial mapeado a pantalla/uso.
